Number 5769, Gentle,038002070000000050005903002800010030503000906060070008900106800040000000080200360
Number 5768, Diabolical,901008206040000000700901005009080000000309000000060700600803009003000010208100604
Number 5767, Moderate,080200600000000304309060028000002030207000501050600000630090107905000000001003050
Number 5766, Diabolical,900004001007200000400050306000000030603400907050000000006020103000005200700800009
Number 5765, Tough,000780060000040380008009540500090000000401000000060002035600400084070000090034020
Number 5764, Moderate,426000500300000004000903000200090008000102000900005003000408000600700000001000842
Number 5763, Moderate,010050089000206700700000006080002090009107500020500070900000004001305000350090060
Number 5762, Gentle,420501008300080050070400020040000200100000007007000090030009070010040009800702014
Number 5761, Diabolical,008040100000290000020000050500700008049000630200005000030000010000053090006020400
Number 5760, Moderate,006000700701000849000010000090500600400603002005001030020060000149000306003000200
Number 5759, Diabolical,000825400000000080800600905000080100070000050006530000104006002050000000207941000
Number 5758, Tough,040000850070005020000040700002059600000801000006720400009010000410200060058000090
Number 5757, Moderate,000426000000070004041000807000300100002085900007009000608000740900030000000058000
Number 5756, Moderate,004600000000000023620800000740200006000080000900001048800007519310000000000009300
Number 5755, Gentle,502090106000500000003800905000900020201000304090005000709001400000003000406080703
Number 5754, Diabolical,095307000006080005800600009068000000100030006000000980400001003000040100000805260
Number 5753, Moderate,002740000010500400000000200703200004050437060800009705007000000009002080000076300
Number 5752, Diabolical,200960001000001000070320000020040310010000040035080029000017090000600000800094002
Number 5751, Tough,300906004006000700090040030200090007040000080900780003010070060003000400800502009
Number 5750, Moderate,000050043000200508400000029006000300030047090000000700540000007907000000260030000
Number 5749, Moderate,000000700900052064050081000800104007007000200600000009000840090410030000005000000
Number 5748, Gentle,500002010400000600003070900000810050870506030060023000009050200006000009040900001
Number 5747, Diabolical,400601070710000039000009000000020048000807000350040000000900000870000062040500001
Number 5746, Moderate,900004600060900020070060000008001900040000080001800300080010067030000040009700002
Number 5745, Diabolical,100007060000010000080000590006000400050269070000000900074000010000420000010608004
Number 5744, Tough,008050000000096000400000072850060010000208000010040083340000021000900000000030640
Number 5743, Moderate,003000005000300080085000240007200000000107090000005700014000930020801000500009400
Number 5742, Moderate,605000413400070008080000090940002000000000000000360087050000030200050001317000609
Number 5741, Gentle,803000105000040000090300028008000300109502407005000200750004030000070000304000809
Number 5740, Diabolical,400003000590820360020000000007030950000209000080060700000000010040007028000500003
Number 5739, Moderate,900005010000020630062100000106500002090000040300009100000004580054030000080000001
Number 5738, Diabolical,000600000700900104004507200802000007000000000130000409008304600506002701000006000
Number 5787, Diabolical,000000000000048002090273005026704010003000200070302850800495030400620000000000000
Number 5786, Tough,400200005007000200050800070080000354100030002273000090020004030001000800300001007
Number 5785, Moderate,009080006000002000060001307000000094000070600400003000201500080800400000700000100
Number 5784, Moderate,000020000150800060006009000035000170009000640047000850000100400080002017020070000
Number 5783, Gentle,060009430509000007004002900000094000020010050000370000001400700900000506086900040
Number 5782, Diabolical,900300040020000005070200010080705000500030001000902050040007000200000070650004008
Number 5781, Moderate,807200900050090200600000000030809000009000400000602070000050008003010050000004301
Number 5780, Diabolical,860000000003004002000002073020030060900107005010000080790200000000705400000000057
Number 5779, Tough,000408620003000080060020000004205003000070000100906200000080070019000800050107000
Number 5778, Moderate,170500083060010070004800500000300002002000900800009000005008100080020050420005097
Number 5777, Moderate,050080000000000900840002100006100090020908030090053700103700064004000000000010070
Number 5776, Gentle,009305000071000560000000000450007009000000000600100037000000000042960370000803400
Number 5775, Diabolical,075002000010307080900000000609010002050000090700040503000000005060805010000100920
Number 5774, Moderate,710040009050006300008000000000075020001802400020490000000000800000500640900060000
Number 5773, Diabolical,740005090000080302031900400078000000000000000000000160004001850000030000090800043
Number 5772, Tough,007094000405008200002060070800007005050000030900500007060030700008700602000810300
Number 5771, Moderate,002000307000052004780000205000001009003080500500900000806000032100420000209000700
Number 5770, Moderate,100670009040300005006090000008040567000000000027010900000050100300002090400007000
Number 1, Extreme,048000300060000050100203004500607002000040000600305001300406005090000040006000710
Number 2, Extreme,003408900500903081000000000910000007005000400200000096000000000630809002002506300
Number 3, Extreme,040000080005000701086301950000904070000030000020805000074108360601000400030000010
Number 4, Extreme,005300600020070040000010008300400001060251080200008004400020000070040090001003400
Number 5, Extreme,000280000600007008009300700010000030060501040080090050008002100700400002000003000
Number 6, Extreme,003020500000503080200000004020050010601802907080090020700000003010307000009040100
Number 7, Extreme,007300800400000005050008060000702030043000790010903000090800040800000003005009200
Number 8, Extreme,100000000000806000096000540900080012000000000230070009054000260000207000800000001
Number 9, Extreme,080000030006108500570000021002803000000010000000902400260000058007209300010000070
Number 10, Extreme,006000800000801000004593200230000065400000001970000082009345600000709000007000500
Number 11, Extreme,004000500000694000690020007800900003005000100300002004500060018000183000007000600
Number 12, Extreme,000000000007402900509300401004060300700000008001080700402007003006905100000000000
Number 13, Extreme,200000005060000080040306070500607021000000000420905003030102090080000030600000007
Number 14, Extreme,000137005000000000730040021090001080507000302020300050150090063000000000900583000
Number 15, Extreme,200480005000000700007209400030090060400805003020030050005903100004000000300078009
Number 16, Extreme,207030508040809010000000000903000601010000080608000402000000000060708030102040805
Number 17, Extreme,290000003007000500000816000080607030000923000030104090000492000003000100800000057
Number 18, Extreme,301906800007000050060000000000098000500070002000640000000000000040000910006204308
Number 19, Extreme,060895040000002000500030008470060030100000006030040051700080003000600000080359020
Number 20, Extreme,064000720200000003905070400003907100000050000006408300007090501100000002092000870
Number 21, Extreme,300010009000309000080005060820504070000000000050608032030200040000907000400080005
Number 22, Extreme,009000200080070050240908006500000063000602000460000002900501074030090020004000100
Number 23, Extreme,000008000500090008408352600009000200680000035005000700007439502900070004000100000
Number 24, Extreme,000000008600041000083000010002104800900000001004007300075000940000960003200000000
Number 25, Extreme,002305700050608000000070020500000906000702000301000004040030000000806040005907300
Number 26, Extreme,400010008003702900020000010050008007000000002700600040000000060004506300900080005
Number 27, Extreme,000605000001400600080000070700000409090000050304080002040000060002004900000162000
Number 28, Extreme,001000500005020300060000410500286000020703050000954007056000090009040800002000100
Number 29, Extreme,003709200001000800070000030097100380010020090052003160020000010006000500009305600
Number 30, Extreme,000000000708050104300109006000000067001503400930000000100708005005040702000000000
Number 31, Extreme,007208300400507108000060000620000094000000000980000051000080000809102006005406800
Number 32, Extreme,000000000010050890900102000050309017009060500860705030000506008034010060000000000
Number 33, Extreme,004000600020008050710000002009305000000904000000802100300000017060400030005000840
Number 34, Extreme,001000600080203050020050007038000040000806000090000200000030070050701080003000400
Number 35, Extreme,060080030007306500000000006140900703000000000805004020700000000006805200090040080
Number 36, Extreme,560000034001000500000568000700902008004000200100804005000237000007000900340000072
Number 37, Extreme,503000108020901060000080000400703001002000600100604009000030000040506030305000206
Number 38, Extreme,008060100006002740000000000100005002800401095700200001000000000047500300003080200
Number 39, Extreme,006402100040000090700000000860504020900070003030201078000000002070000050008603700
Number 40, Extreme,004000700370000064008004300090602000030090020000307050009100500540000036003000400
